K,Time (s),Memory (KB),Passes
2,1462.57,580716.0,14
3,6.26,572764.0,2
4,6.33,572880.0,2
5,6.22,572788.0,2
6,6.36,572676.0,2
7,6.21,572760.0,2
8,6.42,572720.0,2
9,6.14,572784.0,2
10,6.24,572744.0,2
