M,Time (s),Memory (KB),Passes
1000,0.0,3984.0,2.0
2000,0.0,3984.0,2.0
3000,0.0,3984.0,2.0
4000,0.0,4096.0,2.0
5000,0.0,4064.0,2.0
6000,0.01,4240.0,4.0
7000,0.01,4288.0,5.0
8000,0.02,4432.0,5.0
9000,0.02,4688.0,4.0
10000,0.03,4784.0,4.0
12500,0.04,4912.0,4.0
15000,0.05,5136.0,5.0
17500,0.05,5184.0,4.0
20000,0.06,5184.0,5.0
22500,0.06,5248.0,4.0
25000,0.07,5408.0,4.0
30000,0.09,5456.0,5.0
35000,0.09,5488.0,4.0
40000,0.09,5424.0,4.0
45000,0.1,5584.0,4.0
50000,0.11,5472.0,4.0
60000,0.12,5600.0,4.0
70000,0.14,5632.0,4.0
80000,0.15,5536.0,4.0
90000,0.17,5664.0,4.0
100000,0.19,5600.0,4.0
150000,0.26,5792.0,4.0
200000,0.33,5696.0,4.0
250000,0.39,5744.0,4.0
300000,0.54,5648.0,5.0
350000,0.53,5680.0,4.0
400000,0.62,5760.0,4.0
450000,0.7,5840.0,4.0
500000,0.74,5792.0,4.0
600000,0.88,5792.0,4.0
700000,1.07,5776.0,4.0
800000,1.18,5808.0,4.0
900000,1.36,5760.0,4.0
1000000,1.46,5712.0,4.0
2000000,2.32,5760.0,3.0
3000000,4.31,5792.0,4.0
4000000,5.75,5824.0,4.0
5000000,7.24,5824.0,4.0
6000000,8.72,5808.0,4.0
7000000,10.21,5920.0,4.0
8000000,11.76,5552.0,4.0
9000000,13.42,5840.0,4.0
10000000,14.66,5728.0,4.0
20000000,30.23,5616.0,4.0
30000000,44.88,5536.0,4.0
40000000,48.25,5536.0,3.0
49995000,63.49,5520.0,3.0
