M,Time (s),Memory (KB),Passes
1000,0.12,4608.0,2.0
2000,0.11,4016.0,2.0
3000,0.09,4080.0,2.0
4000,0.08,4768.0,2.0
5000,0.07,4256.0,2.0
6000,0.06,5392.0,2.0
7000,0.05,5120.0,2.0
8000,0.04,5472.0,2.0
9000,0.03,5744.0,2.0
10000,0.03,5984.0,2.0
12500,0.02,6464.0,2.0
15000,0.02,6848.0,2.0
17500,0.01,7792.0,2.0
20000,0.01,7440.0,2.0
22500,0.01,7760.0,2.0
25000,0.02,8032.0,2.0
30000,0.02,8560.0,2.0
35000,0.02,9056.0,2.0
40000,0.05,9888.0,3.0
45000,0.05,9888.0,3.0
50000,0.05,9888.0,3.0
60000,0.06,9888.0,3.0
70000,0.06,9888.0,3.0
80000,0.07,10048.0,3.0
90000,0.08,10048.0,3.0
100000,0.09,9888.0,3.0
150000,0.12,9888.0,3.0
200000,0.17,9888.0,3.0
250000,0.28,9888.0,4.0
300000,0.34,10256.0,4.0
350000,0.39,10256.0,4.0
400000,0.44,10384.0,4.0
450000,0.53,10784.0,4.0
500000,0.56,10048.0,4.0
600000,0.66,10288.0,4.0
700000,0.79,10384.0,4.0
800000,0.9,10544.0,4.0
900000,1.01,10048.0,4.0
1000000,1.14,10048.0,4.0
2000000,2.81,10752.0,5.0
3000000,4.19,10416.0,5.0
4000000,5.8,10384.0,5.0
5000000,7.18,10544.0,5.0
6000000,8.61,10432.0,5.0
7000000,12.27,10816.0,6.0
8000000,14.18,10672.0,6.0
9000000,16.04,10880.0,6.0
10000000,17.46,10912.0,6.0
20000000,35.79,10304.0,6.0
30000000,53.67,10208.0,6.0
40000000,67.96,10128.0,6.0
49995000,93.59,9760.0,6.0
