M,Time (s),Memory (KB),Passes
1000,0.0,2304.0,1.0
2000,0.0,2416.0,1.0
3000,0.0,2496.0,1.0
4000,0.0,2576.0,1.0
5000,0.0,2656.0,1.0
6000,0.0,2720.0,1.0
7000,0.0,2768.0,1.0
8000,0.0,2800.0,1.0
9000,0.0,2848.0,1.0
10000,0.0,2896.0,1.0
12500,0.0,2976.0,1.0
15000,0.0,3072.0,1.0
17500,0.0,3136.0,1.0
20000,0.0,3200.0,1.0
22500,0.02,6944.0,2.0
25000,0.02,6976.0,2.0
30000,0.05,7504.0,3.0
35000,0.04,6976.0,3.0
40000,0.05,8112.0,3.0
45000,0.05,6976.0,3.0
50000,0.05,7520.0,3.0
60000,0.05,6976.0,3.0
70000,0.06,7520.0,3.0
80000,0.07,6976.0,3.0
90000,0.08,6976.0,3.0
100000,0.08,6976.0,3.0
150000,0.13,7328.0,3.0
200000,0.17,7520.0,3.0
250000,0.29,8480.0,4.0
300000,0.34,7504.0,4.0
350000,0.39,7504.0,4.0
400000,0.45,6976.0,4.0
450000,0.54,8032.0,4.0
500000,0.56,7504.0,4.0
600000,0.67,7840.0,4.0
700000,0.8,7840.0,4.0
800000,0.91,7504.0,4.0
900000,1.02,7856.0,4.0
1000000,1.14,7856.0,4.0
2000000,2.26,8032.0,4.0
3000000,3.38,7840.0,4.0
4000000,4.6,8032.0,4.0
5000000,5.8,7840.0,4.0
6000000,6.92,7856.0,4.0
7000000,8.38,7520.0,4.0
8000000,9.4,7760.0,4.0
9000000,10.59,8032.0,4.0
10000000,11.86,8080.0,4.0
20000000,29.83,7248.0,5.0
30000000,44.8,8016.0,5.0
40000000,59.07,6656.0,5.0
49995000,80.43,6800.0,5.0
