M,Time (s),Memory (KB),Passes
1000,0.0,3984.0,2.0
2000,0.0,3984.0,2.0
3000,0.0,3984.0,2.0
4000,0.0,4096.0,2.0
5000,0.0,4128.0,2.0
6000,0.01,4224.0,4.0
7000,0.01,4368.0,5.0
8000,0.02,4544.0,5.0
9000,0.02,4576.0,4.0
10000,0.03,4688.0,4.0
12500,0.04,4912.0,4.0
15000,0.05,5040.0,5.0
17500,0.05,5136.0,4.0
20000,0.07,5376.0,5.0
22500,0.06,5248.0,4.0
25000,0.07,5392.0,4.0
30000,0.09,5472.0,5.0
35000,0.08,5376.0,4.0
40000,0.09,5424.0,4.0
45000,0.1,5456.0,4.0
50000,0.11,5472.0,4.0
60000,0.12,5488.0,4.0
70000,0.14,5648.0,4.0
80000,0.15,5600.0,4.0
90000,0.17,5552.0,4.0
100000,0.18,5568.0,4.0
150000,0.25,5728.0,4.0
200000,0.32,5728.0,4.0
250000,0.39,5632.0,4.0
300000,0.54,5728.0,5.0
350000,0.54,5728.0,4.0
400000,0.6,5776.0,4.0
450000,0.67,5776.0,4.0
500000,0.74,5760.0,4.0
600000,0.88,5792.0,4.0
700000,1.04,5824.0,4.0
800000,1.18,5776.0,4.0
900000,1.33,5792.0,4.0
1000000,1.45,5792.0,4.0
2000000,2.33,5792.0,3.0
3000000,4.28,5792.0,4.0
4000000,5.77,5808.0,4.0
5000000,7.28,5792.0,4.0
6000000,8.72,5856.0,4.0
7000000,10.28,5712.0,4.0
8000000,11.76,5712.0,4.0
9000000,13.29,6032.0,4.0
10000000,14.65,6080.0,4.0
20000000,29.8,6848.0,4.0
30000000,45.08,6976.0,4.0
40000000,51.63,7504.0,3.0
49995000,62.72,8080.0,3.0
