M,Time (s),Memory (KB),Passes
1000,0.0,3984.0,2.0
2000,0.0,3984.0,2.0
3000,0.0,3984.0,2.0
4000,0.0,3984.0,2.0
5000,0.0,4000.0,2.0
6000,0.01,4240.0,4.0
7000,0.01,4336.0,5.0
8000,0.02,4544.0,5.0
9000,0.02,4576.0,4.0
10000,0.03,4688.0,4.0
12500,0.04,4912.0,4.0
15000,0.05,5040.0,5.0
17500,0.05,5232.0,4.0
20000,0.06,5184.0,5.0
22500,0.06,5248.0,4.0
25000,0.07,5408.0,4.0
30000,0.09,5440.0,5.0
35000,0.09,5408.0,4.0
40000,0.09,5424.0,4.0
45000,0.1,5568.0,4.0
50000,0.11,5472.0,4.0
60000,0.12,5488.0,4.0
70000,0.14,5552.0,4.0
80000,0.15,5536.0,4.0
90000,0.17,5680.0,4.0
100000,0.18,5568.0,4.0
150000,0.26,5648.0,4.0
200000,0.33,5712.0,4.0
250000,0.39,5664.0,4.0
300000,0.54,5760.0,5.0
350000,0.53,5760.0,4.0
400000,0.6,5696.0,4.0
450000,0.69,5760.0,4.0
500000,0.74,5664.0,4.0
600000,0.88,5808.0,4.0
700000,1.04,5792.0,4.0
800000,1.19,5792.0,4.0
900000,1.34,5808.0,4.0
1000000,1.46,5808.0,4.0
2000000,2.35,5808.0,3.0
3000000,4.29,5808.0,4.0
4000000,5.77,5824.0,4.0
5000000,7.2,5744.0,4.0
6000000,8.82,5712.0,4.0
7000000,10.07,5824.0,4.0
8000000,11.85,5552.0,4.0
9000000,13.38,5792.0,4.0
10000000,14.76,5824.0,4.0
20000000,29.97,5760.0,4.0
30000000,45.09,5568.0,4.0
40000000,48.69,6272.0,3.0
49995000,63.95,6768.0,3.0
