M,Time (s),Memory (KB),Passes
1000,0.12,3952.0,2.0
2000,0.11,4016.0,2.0
3000,0.11,8160.0,2.0
4000,0.08,4768.0,2.0
5000,0.07,4256.0,2.0
6000,0.06,5392.0,2.0
7000,0.05,6320.0,2.0
8000,0.04,5472.0,2.0
9000,0.03,5744.0,2.0
10000,0.03,5984.0,2.0
12500,0.02,6464.0,2.0
15000,0.02,6816.0,2.0
17500,0.01,7264.0,2.0
20000,0.01,7440.0,2.0
22500,0.01,7760.0,2.0
25000,0.02,8032.0,2.0
30000,0.02,8560.0,2.0
35000,0.02,9056.0,2.0
40000,0.02,9552.0,2.0
45000,0.03,10048.0,2.0
50000,0.03,10720.0,2.0
60000,0.04,11504.0,2.0
70000,0.04,12576.0,2.0
80000,0.05,13408.0,2.0
90000,0.09,15360.0,3.0
100000,0.09,15360.0,3.0
150000,0.13,15568.0,3.0
200000,0.17,15824.0,3.0
250000,0.21,15360.0,3.0
300000,0.25,15712.0,3.0
350000,0.29,15840.0,3.0
400000,0.34,15360.0,3.0
450000,0.4,15920.0,3.0
500000,0.42,15584.0,3.0
600000,0.5,15744.0,3.0
700000,0.6,15600.0,3.0
800000,0.68,15840.0,3.0
900000,0.77,15792.0,3.0
1000000,0.85,15840.0,3.0
2000000,2.25,16208.0,4.0
3000000,3.37,16336.0,4.0
4000000,4.48,16240.0,4.0
5000000,5.73,16208.0,4.0
6000000,6.9,16000.0,4.0
7000000,8.11,16016.0,4.0
8000000,9.29,15840.0,4.0
9000000,10.56,15840.0,4.0
10000000,11.67,16336.0,4.0
20000000,28.81,15248.0,5.0
30000000,44.6,16064.0,5.0
40000000,57.06,15344.0,5.0
49995000,79.49,14576.0,5.0
