M,Time (s),Memory (KB),Passes
1000,0.0,2304.0,1.0
2000,0.0,2416.0,1.0
3000,0.0,2496.0,1.0
4000,0.0,2576.0,1.0
5000,0.0,2656.0,1.0
6000,0.0,2848.0,1.0
7000,0.0,2768.0,1.0
8000,0.0,2960.0,1.0
9000,0.0,3008.0,1.0
10000,0.0,3024.0,1.0
12500,0.0,2976.0,1.0
15000,0.0,3072.0,1.0
17500,0.0,3504.0,1.0
20000,0.0,3200.0,1.0
22500,0.0,3280.0,1.0
25000,0.0,3520.0,1.0
30000,0.01,3664.0,1.0
35000,0.01,3824.0,1.0
40000,0.01,3872.0,1.0
45000,0.01,4192.0,1.0
50000,0.01,4224.0,1.0
60000,0.01,4560.0,1.0
70000,0.02,5040.0,1.0
80000,0.02,5376.0,1.0
90000,0.02,5856.0,1.0
100000,0.03,6224.0,1.0
150000,0.09,15408.0,2.0
200000,0.12,15248.0,2.0
250000,0.15,15408.0,2.0
300000,0.17,15296.0,2.0
350000,0.21,15248.0,2.0
400000,0.23,15344.0,2.0
450000,0.26,15472.0,2.0
500000,0.3,15344.0,2.0
600000,0.34,15344.0,2.0
700000,0.42,15744.0,2.0
800000,0.46,15456.0,2.0
900000,0.51,15472.0,2.0
1000000,0.57,15600.0,2.0
2000000,1.13,15408.0,2.0
3000000,1.69,15808.0,2.0
4000000,2.27,18000.0,2.0
5000000,2.94,15344.0,2.0
6000000,3.45,15632.0,2.0
7000000,4.18,15488.0,2.0
8000000,4.66,15728.0,2.0
9000000,5.35,20752.0,2.0
10000000,5.99,20800.0,2.0
20000000,18.48,14944.0,3.0
30000000,26.9,15712.0,3.0
40000000,36.03,15312.0,3.0
49995000,48.58,14848.0,3.0
