M,Time (s),Memory (KB),Passes
1000,0.12,5200.0,2.0
2000,0.11,4640.0,2.0
3000,0.09,4656.0,2.0
4000,0.08,5344.0,2.0
5000,0.07,4880.0,2.0
6000,0.06,5184.0,3.0
7000,0.06,6080.0,5.0
8000,0.06,5648.0,6.0
9000,0.06,6608.0,6.0
10000,0.06,6624.0,6.0
12500,0.06,6320.0,6.0
15000,0.06,6448.0,6.0
17500,0.07,7152.0,8.0
20000,0.07,6576.0,7.0
22500,0.09,9424.0,10.0
25000,0.08,7328.0,8.0
30000,0.1,6624.0,9.0
35000,0.11,6624.0,9.0
40000,0.12,7424.0,9.0
45000,0.13,7056.0,9.0
50000,0.18,6624.0,12.0
60000,0.18,7120.0,10.0
70000,0.21,7584.0,10.0
80000,0.25,10384.0,10.0
90000,0.28,7296.0,11.0
100000,0.31,6624.0,11.0
150000,0.55,7616.0,13.0
200000,0.74,8320.0,13.0
250000,0.98,7280.0,14.0
300000,1.17,8640.0,14.0
350000,1.46,7904.0,15.0
400000,1.56,8112.0,14.0
450000,1.94,8736.0,15.0
500000,2.14,9152.0,15.0
600000,2.49,8144.0,15.0
700000,3.16,7872.0,16.0
800000,3.61,8672.0,16.0
900000,4.05,8704.0,16.0
1000000,4.51,8672.0,16.0
2000000,10.13,8688.0,18.0
3000000,15.99,8144.0,19.0
4000000,22.53,8064.0,20.0
5000000,28.51,8144.0,20.0
6000000,34.48,7856.0,20.0
7000000,40.61,7856.0,20.0
8000000,49.1,7536.0,21.0
9000000,55.53,8704.0,21.0
10000000,62.29,7904.0,21.0
20000000,124.26,7856.0,21.0
30000000,196.03,7536.0,22.0
40000000,256.98,7536.0,22.0
49995000,335.17,7472.0,22.0
