N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3188.0,2.99,9.4
20,0.0001,3188.0,3.0,15.58
30,0.0001,3180.0,3.02,21.12
40,0.0002,3180.0,3.01,26.43
50,0.0003,3124.0,3.03,30.65
60,0.0005,3136.0,3.03,35.71
70,0.0005,3180.0,3.01,39.45
80,0.0007000000000000001,3196.0,3.01,44.07
90,0.0008,3228.0,3.03,48.37
100,0.001,3172.0,3.03,51.76
200,0.0029,3136.0,3.13,86.87
300,0.0058,4164.0,3.21,115.99
400,0.0085,3180.0,3.29,133.95
500,0.012,3232.0,3.37,147.66
600,0.0161,3128.0,3.32,162.22
700,0.0203,3192.0,3.37,168.19
800,0.024700000000000003,3192.0,3.41,179.35
900,0.0292,3144.0,3.43,177.95
1000,0.0344,3172.0,3.41,195.57
1200,0.0458,3128.0,3.39,199.0
1400,0.058600000000000006,3212.0,3.39,225.13
1600,0.0732,4200.0,3.47,219.3
1800,0.0872,4224.0,3.45,235.15
2000,0.1033,4220.0,3.5,257.73
2500,0.1429,4148.0,3.48,286.26
3000,0.1907,4192.0,3.53,297.86
3500,0.24309999999999998,4212.0,3.56,322.21
4000,0.2967,5220.0,3.57,335.9
4500,0.3649,5184.0,3.63,361.09
5000,0.4249,5244.0,3.68,408.75
6000,0.5466,6296.0,3.61,422.13
7000,0.703,6300.0,3.63,459.76
