Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,N/A,N/A,N/A,N/A
6000,N/A,N/A,N/A,N/A
7000,N/A,N/A,N/A,N/A
8000,N/A,N/A,N/A,N/A
9000,N/A,N/A,N/A,N/A
10000,N/A,N/A,N/A,N/A
11000,N/A,N/A,N/A,N/A
12000,N/A,N/A,N/A,N/A
13000,N/A,N/A,N/A,N/A
14000,N/A,N/A,N/A,N/A
15000,N/A,N/A,N/A,N/A
16000,N/A,N/A,N/A,N/A
17000,N/A,N/A,N/A,N/A
18000,N/A,N/A,N/A,N/A
19000,N/A,N/A,N/A,N/A
20000,N/A,N/A,N/A,N/A
21000,N/A,N/A,N/A,N/A
22000,N/A,N/A,N/A,N/A
23000,N/A,N/A,N/A,N/A
24000,N/A,N/A,N/A,N/A
25000,N/A,N/A,N/A,N/A
30000,N/A,N/A,N/A,N/A
35000,N/A,N/A,N/A,N/A
40000,2,14,32960.0,2
45000,N/A,N/A,N/A,N/A
50000,N/A,N/A,N/A,N/A
60000,3,6,56400.0,3
70000,4,4,56640.0,4
80000,4,4,62384.0,4
90000,4,4,65072.0,4
100000,4,4,57536.0,4
200000,4,4,57280.0,4
300000,4,4,51424.0,4
400000,4,4,65552.0,4
500000,4,4,62624.0,4
600000,4,4,52944.0,4
700000,4,4,52912.0,4
800000,4,4,49872.0,4
900000,4,4,46864.0,4
1000000,4,4,51344.0,4
