K,Iteration,User Time (s),Memory (KB),Passes
6,1,18.35,99504.0,4
6,2,6.11,99540.0,4
6,3,6.02,99568.0,4
6,4,5.84,99664.0,4
6,5,5.86,99568.0,4
6,6,5.97,99536.0,4
6,7,6.2,99672.0,4
6,8,6.15,99588.0,4
6,9,5.9,99560.0,4
6,10,6.14,99668.0,4
6,11,6.5,99572.0,4
6,12,6.05,99596.0,4
6,13,18.34,99600.0,4
6,14,5.96,99596.0,4
6,15,18.72,99540.0,4
6,16,6.29,99608.0,4
6,17,18.93,99656.0,4
6,18,6.56,99504.0,4
6,19,19.19,99660.0,4
6,20,6.29,99536.0,4
6,21,19.04,99596.0,4
6,22,6.27,99512.0,4
6,23,17.84,99676.0,4
6,24,6.05,99528.0,4
6,25,18.06,99592.0,4
6,26,6.02,99676.0,4
6,27,19.68,99596.0,4
6,28,6.09,99644.0,4
6,29,17.6,99556.0,4
6,30,6.3,99556.0,4
6,31,6.67,99588.0,4
6,32,6.12,99560.0,4
6,33,6.37,99588.0,4
6,34,18.86,99600.0,4
6,35,6.37,99540.0,4
6,36,19.29,99664.0,4
6,37,6.83,99488.0,4
6,38,18.15,99536.0,4
6,39,6.28,99640.0,4
6,40,18.88,99548.0,4
6,41,6.62,99492.0,4
6,42,18.73,99664.0,4
6,43,6.37,99540.0,4
6,44,19.06,99540.0,4
6,45,18.15,99492.0,4
6,46,19.25,99484.0,4
6,47,19.06,99664.0,4
6,48,6.67,99676.0,4
6,49,19.37,99540.0,4
6,50,6.2,99648.0,4
