N,Time (s),Memory (KB),Passes
10,0.0,4196.0,1.0
20,0.0,4216.0,1.0
30,0.0,4196.0,1.0
40,0.0,4196.0,2.02
50,0.0,4168.0,2.04
60,0.0,4196.0,2.04
70,0.0,4168.0,2.04
80,0.0,4268.0,2.06
90,0.0,4260.0,2.04
100,0.0,4168.0,2.08
150,0.0,4196.0,2.16
200,0.0,4168.0,2.1
250,0.0,4168.0,2.1
300,0.0,4176.0,2.19
350,0.0,4196.0,2.21
400,0.0,4168.0,2.18
450,0.0,4168.0,2.19
500,0.0,3196.0,2.13
550,0.0,4204.0,2.22
600,0.0,4192.0,2.23
650,0.01,4168.0,2.24
700,0.01,4196.0,2.21
750,0.01,4168.0,2.23
800,0.01,4168.0,2.18
850,0.01,4196.0,2.24
900,0.01,4168.0,2.23
950,0.01,4196.0,2.25
1000,0.01,4168.0,2.28
