K,Time (s),Memory (MB),Passes
1,1827.74,79.44,1418
2,42.15,92.34,20
3,30.68,99.94,13
4,21.42,122.24,9
5,21.79,138.18,8
6,14.71,151.27,6
7,17.51,165.08,6
8,14.24,179.94,5
9,15.97,195.20,5
10,11.05,214.44,4
