K,Time (s),Memory (MB),Passes
1,2473.19,74.21,1692
2,68.07,85.59,41
3,37.55,102.24,17
4,26.72,115.12,12
5,21.74,128.93,10
6,19.32,146.80,8
7,16.56,166.13,7
8,24.03,177.50,7
9,16.28,195.19,6
10,20.7,208.50,6
