K,Time (s),Memory (MB),Passes
1,13.58,618.98,6
2,11.98,448.78,5
3,9.47,327.75,4
4,9.54,507.87,4
5,12.68,421.85,4
6,7.92,385.44,3
7,8.15,324.61,3
8,7.95,331.37,3
9,9.33,364.46,3
10,9.2,392.96,3
