K,Time (s),Memory (MB),Passes
1,2227.81,74.20,1732
2,67.65,89.39,40
3,32.97,97.83,17
4,28.23,114.08,12
5,22.08,129.96,9
6,24.4,145.38,8
7,14.67,163.09,6
8,18.1,175.89,6
9,13.48,191.82,5
10,17.43,208.11,5
