N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3228.0,2.0,9.42
20,0.0001,3224.0,3.0,15.58
30,0.0001,3176.0,3.02,21.1
40,0.0002,3176.0,3.0,26.38
50,0.0003,3188.0,3.03,30.61
60,0.0005,3172.0,3.04,35.74
70,0.0006,4176.0,3.0,39.54
80,0.0007000000000000001,3152.0,3.01,44.14
90,0.0009,3172.0,3.02,48.41
100,0.001,3168.0,3.02,51.73
200,0.003,3168.0,3.14,86.85
300,0.0054,3244.0,3.19,116.12
400,0.0087,3172.0,3.27,133.97
500,0.0124,3148.0,3.34,147.72
600,0.0158,3156.0,3.34,162.36
700,0.0196,4172.0,3.34,168.18
800,0.025,3180.0,3.42,179.6
900,0.0297,3184.0,3.4,178.05
1000,0.034,3192.0,3.39,195.37
1200,0.045700000000000005,3208.0,3.41,199.12
1400,0.0613,3188.0,3.39,225.4
1600,0.0718,4232.0,3.45,219.42
1800,0.0868,4220.0,3.45,235.33
2000,0.1038,4212.0,3.49,257.6
2500,0.1446,4192.0,3.5,286.39
3000,0.18960000000000002,4164.0,3.54,297.88
3500,0.2416,4196.0,3.59,322.19
4000,0.2959,5240.0,3.58,335.76
4500,0.3557,5184.0,3.62,361.15
5000,0.4217,5236.0,3.66,408.86
6000,0.5554,6212.0,3.63,421.87
7000,0.6992,6212.0,3.63,459.95
