K,Time (s),Memory (KB),Passes
1,4.96,3164.0,39.95
2,2.1,3108.0,16.86
3,1.61,3108.0,12.98
4,1.37,4132.0,10.84
5,1.18,4132.0,9.44
6,1.08,4176.0,8.47
7,0.97,4132.0,7.78
8,0.88,4204.0,7.1
9,0.84,4160.0,6.71
10,0.78,4132.0,6.16
12,0.71,4156.0,5.65
14,0.66,4160.0,5.17
16,0.65,5152.0,5.06
18,0.56,5156.0,4.42
20,0.54,5156.0,4.19
25,0.53,6196.0,4.13
30,0.42,6188.0,3.2
35,0.41,6236.0,3.2
40,0.41,7224.0,3.19
50,0.42,8224.0,3.13
75,0.29,10276.0,2.2
100,0.3,12324.0,2.19
250,0.34,26660.0,1.98
500,0.12,79408.0,1.0
750,0.12,80308.0,1.0
1000,0.12,79208.0,1.0
2500,0.12,78472.0,1.0
5000,0.12,79572.0,1.0
7500,0.12,79448.0,1.0
10000,0.12,79648.0,1.0
