K,Time (s),Memory (KB),Passes
1,0.0,1408.0,2
2,0.0,1408.0,2
3,0.0,1408.0,2
4,0.0,1408.0,2
5,0.0,1408.0,2
6,0.0,1408.0,2
7,0.0,1408.0,2
8,0.0,1424.0,2
9,0.0,1424.0,2
10,0.0,1424.0,2
