K,Average User Time (s),Average Memory (KB),Passes
1,2.928,96140.0,3
2,2.964,96183.2,3
3,2.978,96132.8,3
4,3.02,96168.0,3
5,2.928,96176.8,3
6,2.994,96164.0,3
7,2.974,96141.6,3
8,2.954,96178.4,3
9,2.934,95964.0,3
10,3.024,95925.6,3
