K,Time (s),Memory (MB),Passes
1,14.96,222.40,4
2,3.83,144.57,2
3,5.32,131.75,2
4,10.1,149.61,2
5,0.25,48.27,1
6,0.25,48.27,1
7,0.25,48.27,1
8,0.25,48.27,1
9,0.25,48.27,1
10,0.25,48.27,1
