K,Time (s),Memory (MB),Passes
1,143.51,89.02,475
2,22.81,96.56,7
3,18.97,111.50,5
4,10.09,137.48,2
5,0.25,48.27,1
6,0.25,48.27,1
7,0.25,48.27,1
8,0.25,48.27,1
9,0.25,48.27,1
10,0.25,48.27,1
