K,Time (s),Memory (MB),Passes
1,175.21,81.32,603
2,31.85,98.14,28
3,18.52,114.22,6
4,21.84,137.64,5
5,0.25,48.27,1
6,0.25,48.27,1
7,0.25,48.27,1
8,0.25,48.27,1
9,0.25,48.27,1
10,0.25,48.27,1
