K,Time (s),Memory (MB),Passes
1,157.61,84.71,617
2,32.52,95.98,32
3,14.75,118.07,6
4,11.05,138.00,4
5,17.56,154.29,6
6,0.68,167.67,2
7,0.68,167.72,2
8,0.71,167.78,2
9,0.60,167.72,2
10,0.67,167.77,2
