M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0034999999999999996,6260.0,2.0,4.95
2000,0.0046,7264.0,2.0,7.26
3000,0.005600000000000001,6212.0,2.03,10.65
4000,0.006999999999999999,6260.0,2.14,17.89
5000,0.0086,6240.0,2.51,45.1
6000,0.015700000000000002,7208.0,3.86,293.58
7000,0.0226,6180.0,4.09,733.67
8000,0.030299999999999997,8244.0,4.15,1232.57
9000,0.0381,8264.0,4.18,1728.56
10000,0.0453,7240.0,4.18,2195.67
12000,0.056299999999999996,8244.0,4.11,3008.01
14000,0.069,7212.0,4.16,3696.28
16000,0.0767,8260.0,4.15,4266.14
18000,0.0839,8228.0,4.14,4750.74
25000,0.1061,8228.0,4.16,5957.07
30000,0.1207,8264.0,4.15,6542.37
35000,0.1293,8224.0,4.05,6966.49
40000,0.141,9276.0,4.1,7312.03
45000,0.1412,8284.0,4.07,7581.84
50000,0.1506,8244.0,4.11,7806.8
60000,0.1698,9300.0,4.12,8148.29
70000,0.18460000000000001,9248.0,4.08,8394.63
80000,0.20489999999999997,9264.0,4.1,8593.46
90000,0.2165,8252.0,4.06,8742.79
100000,0.23199999999999998,9264.0,4.04,8864.37
200000,0.3873,9288.0,4.08,9427.87
300000,0.5385,9260.0,4.05,9620.83
400000,0.6897,8228.0,4.02,9716.6
500000,0.8312,8228.0,4.0,9774.55
600000,0.9699,7216.0,3.92,9814.39
700000,1.1264,8228.0,3.91,9842.27
800000,1.2846000000000002,9264.0,3.88,9865.58
900000,1.3947,8344.0,3.85,9880.93
1000000,1.5427000000000002,8256.0,3.8,9892.96
2000000,2.9069,8228.0,3.64,9950.61
4000000,5.458099999999999,8308.0,3.41,9978.35
6000000,8.0865,7204.0,3.38,9986.67
8000000,10.5726,8228.0,3.18,9990.72
10000000,13.0165,8312.0,3.18,9993.14
15000000,19.3964,7276.0,3.12,9996.18
20000000,25.7758,8240.0,3.06,9997.69
25000000,31.5519,7236.0,3.01,9998.57
30000000,39.9464,6180.0,3.02,9999.14
35000000,44.5019,7256.0,3.02,9999.46
40000000,51.7303,7280.0,3.0,9999.73
49995000,63.4859,7204.0,3.0,10000.0
