M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.00066,376900.0,1.0,0.122
2000,0.00171,403552.0,1.0,0.19
3000,0.00171,428152.0,1.0,0.325
4000,0.00231,459832.0,1.0,0.403
5000,0.0040999999999999995,493624.0,1.0,0.471
6000,0.00347,527396.0,1.0,0.408
7000,0.004019999999999999,557148.0,1.0,0.362
8000,0.00458,582724.0,1.0,0.298
9000,0.00746,601184.0,1.0,0.215
10000,0.00809,614496.0,1.0,0.206
12000,0.00965,636964.0,1.0,0.17
14000,0.01123,649280.0,1.0,0.119
16000,0.01173,658472.0,1.0,0.065
18000,0.013380000000000001,663612.0,1.0,0.05
25000,0.08059999999999999,9332.0,1.0,5953.31
30000,0.13525,9300.0,2.0,6528.7
35000,0.14853,9252.0,2.0,6963.45
40000,0.12833,9252.0,2.0,7304.4
45000,0.1729,9252.0,2.0,7579.27
50000,0.17446,9280.0,2.0,7800.33
60000,0.18816,9248.0,2.001,8142.01
70000,0.20732,10300.0,2.004,8393.47
80000,0.22306,9252.0,2.003,8588.01
90000,0.24528999999999998,9336.0,2.002,8738.9
100000,0.26362,9256.0,2.002,8864.22
200000,0.34018,9252.0,2.0,9427.79
300000,0.50608,10316.0,2.0,9620.59
