M,Time (s),Memory (KB),Passes
100,0.0,41040.0,1.0
200,0.0,44120.0,1.0
300,0.0,46176.0,1.0
400,0.0,46200.0,1.0
500,0.0,48188.0,1.0
600,0.0,48228.0,1.0
700,0.0,50268.0,1.0
800,0.0,49204.0,1.0
900,0.0,51240.0,1.0
1000,0.0,51296.0,1.0
2000,0.0,56388.0,1.0
3000,0.0,59468.0,1.0
4000,0.0,60532.0,1.0
5000,0.0,62560.0,1.0
6000,0.01,4184.0,2.05
7000,0.01,4220.0,2.14
8000,0.01,4160.0,2.17
9000,0.01,5212.0,2.18
10000,0.01,4180.0,2.19
11000,0.01,5176.0,2.23
12000,0.01,5196.0,2.62
13000,0.01,4180.0,2.92
14000,0.01,4132.0,2.98
15000,0.02,4148.0,2.99
16000,0.02,5204.0,3.0
17000,0.02,4204.0,3.0
18000,0.02,4132.0,3.0
19000,0.02,5216.0,3.02
20000,0.02,4156.0,3.17
30000,0.04,4160.0,4.57
40000,0.06,4132.0,5.53
50000,0.09,5180.0,6.49
60000,0.11,5160.0,7.08
70000,0.14,4160.0,7.51
80000,0.16,4132.0,7.71
90000,0.18,4132.0,7.82
100000,0.21,3128.0,7.91
200000,0.43,5172.0,8.64
300000,0.68,4168.0,8.96
400000,0.92,4164.0,9.23
