M,Time (s),Memory (KB),Passes
100,0.0,41008.0,1.0
200,0.0,44088.0,1.0
300,0.0,45136.0,1.0
400,0.0,47160.0,1.0
500,0.0,48184.0,1.0
600,0.0,49212.0,1.0
700,0.0,50232.0,1.0
800,0.0,50228.0,1.0
900,0.0,51264.0,1.0
1000,0.0,52308.0,1.0
2000,0.0,55412.0,1.0
3000,0.0,4132.0,2.41
4000,0.01,4136.0,2.91
5000,0.01,4184.0,2.99
6000,0.01,4152.0,3.01
7000,0.01,4160.0,3.19
8000,0.01,3140.0,3.6
9000,0.01,4152.0,3.86
10000,0.01,4152.0,3.96
11000,0.01,4144.0,4.01
12000,0.02,4152.0,4.16
13000,0.02,3112.0,4.42
14000,0.02,3108.0,4.63
15000,0.02,4152.0,4.76
16000,0.02,3112.0,4.89
17000,0.03,4132.0,5.14
18000,0.03,3124.0,5.39
19000,0.03,3136.0,5.62
20000,0.03,4148.0,5.75
30000,0.06,4148.0,7.73
40000,0.11,3108.0,10.1
50000,0.16,3108.0,11.95
60000,0.2,3136.0,13.13
70000,0.24,3108.0,13.67
80000,0.31,3136.0,14.06
90000,0.33,3124.0,14.32
100000,0.37,3108.0,14.46
200000,0.78,3108.0,15.44
300000,1.23,3108.0,16.02
400000,1.64,3104.0,16.5
