M,Time (s),Memory (KB),Passes
100,0.0,4156.0,2.0
200,0.0,3128.0,2.0
300,0.0,4152.0,2.0
400,0.0,4152.0,2.0
500,0.0,4176.0,2.0
600,0.0,3188.0,2.0
700,0.0,3156.0,2.0
800,0.0,3192.0,2.0
900,0.0,4188.0,2.0
1000,0.0,4152.0,2.0
2000,0.0,4152.0,2.0
3000,0.0,3108.0,2.04
4000,0.0,3136.0,2.13
5000,0.0,4160.0,2.18
6000,0.01,4176.0,2.21
7000,0.01,4168.0,2.28
8000,0.01,4132.0,2.81
9000,0.01,4176.0,3.13
10000,0.01,4212.0,3.15
11000,0.01,4212.0,3.16
12000,0.01,4132.0,3.18
13000,0.01,4188.0,3.19
14000,0.01,4168.0,3.22
15000,0.02,4200.0,3.25
16000,0.02,5172.0,3.27
17000,0.02,5160.0,3.29
18000,0.02,4208.0,3.32
19000,0.02,5216.0,3.33
20000,0.02,5160.0,3.34
30000,0.04,4168.0,4.27
40000,0.06,4168.0,5.12
50000,0.08,4196.0,5.92
60000,0.1,3144.0,6.38
70000,0.13,4128.0,6.83
80000,0.15,4212.0,7.08
90000,0.17,5176.0,7.38
100000,0.2,4160.0,7.6
200000,0.43,4132.0,8.54
300000,0.68,4132.0,9.05
400000,0.93,4140.0,9.37
