M,Time (s),Memory (KB),Passes
100,0.0,41004.0,1.0
200,0.0,44080.0,1.0
300,0.0,46128.0,1.0
400,0.0,46152.0,1.0
500,0.0,48184.0,1.0
600,0.0,49208.0,1.0
700,0.0,50232.0,1.0
800,0.0,50244.0,1.0
900,0.0,50236.0,1.0
1000,0.0,52292.0,1.0
2000,0.0,56408.0,1.0
3000,0.0,59448.0,1.0
4000,0.0,61480.0,1.0
5000,0.0,61588.0,1.0
6000,0.0,62524.0,1.0
7000,0.0,64576.0,1.0
8000,0.0,64636.0,1.0
9000,0.0,66624.0,1.0
10000,0.0,64548.0,1.0
11000,0.01,4132.0,2.0
12000,0.01,4136.0,2.0
13000,0.01,5160.0,2.0
14000,0.01,4212.0,2.02
15000,0.01,4132.0,2.06
16000,0.01,4128.0,2.12
17000,0.01,5196.0,2.15
18000,0.01,4132.0,2.16
19000,0.01,4180.0,2.18
20000,0.02,4200.0,2.18
30000,0.03,4212.0,2.99
40000,0.04,4132.0,3.67
50000,0.06,5176.0,4.1
60000,0.08,4132.0,4.48
70000,0.09,4164.0,4.73
80000,0.11,4132.0,4.92
90000,0.13,4160.0,5.12
100000,0.14,4212.0,5.24
200000,0.29,4128.0,5.68
300000,0.45,5192.0,5.93
400000,0.62,4132.0,6.12
