K,Average User Time (s),Average Memory (KB),Passes
1,3.116,30989.6,13
2,1.702,36525.6,4
3,1.088,42792.8,3
4,1.682,48147.2,2
5,0.092,51590.4,1
6,0.088,51569.6,1
7,0.084,51574.4,1
8,0.086,51594.4,1
9,0.088,51552.8,1
10,0.086,51607.2,1
