K,Average User Time (s),Average Memory (KB),Passes
1,0.552,60546.4,2
2,0.556,73756.8,2
3,0.464,75294.4,1
4,0.464,75298.4,1
5,0.476,75407.2,1
6,0.46,75369.6,1
7,0.464,75360.8,1
8,0.472,75352.0,1
9,0.476,75346.4,1
10,0.466,75292.0,1
