N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,7.000000000000001e-05,4152.0,2.997,10.0
20,0.00029,4152.0,3.0,20.0
30,0.00068,4152.0,3.0,30.0
40,0.00085,4148.0,3.002,40.0
50,0.0018700000000000001,3196.0,3.001,50.0
60,0.00281,3164.0,3.003,60.0
70,0.0037099999999999998,3132.0,3.001,70.0
80,0.00484,4180.0,3.0,80.0
90,0.006030000000000001,4192.0,3.001,90.0
100,0.00752,3156.0,3.0,100.0
200,0.03226,4164.0,3.001,200.0
300,0.04967,3148.0,3.002,300.0
400,0.13265000000000002,4152.0,3.0,400.0
500,0.15455000000000002,4180.0,3.004,500.0
600,0.29831,4164.0,3.0,600.0
700,0.40902999999999995,4156.0,3.0,700.0
800,0.53274,3136.0,3.002,800.0
900,0.59051,3108.0,3.003,900.0
1000,0.70692,3164.0,3.0,1000.0
1200,1.10125,3108.0,3.001,1200.0
1400,1.68646,4168.0,3.0,1400.0
1600,1.60924,4160.0,3.0,1600.0
1800,2.78221,4132.0,3.0,1800.0
2000,3.5499699999999996,4216.0,3.001,2000.0
2500,4.74811,4176.0,3.001,2500.0
3000,7.57021,4132.0,3.0,3000.0
3500,11.135879999999998,5156.0,3.002,3500.0
