K,Iteration,User Time (s),Memory (KB),Passes
7,1,32.63,123292.0,1
7,2,32.72,123228.0,1
7,3,32.49,123156.0,1
7,4,33.1,123316.0,1
7,5,33.24,123252.0,1
7,6,32.0,123320.0,1
7,7,33.61,123196.0,1
7,8,33.05,123104.0,1
7,9,33.69,123268.0,1
7,10,31.35,123272.0,1
7,11,31.93,123204.0,1
7,12,31.1,123196.0,1
7,13,33.0,123268.0,1
7,14,32.64,123272.0,1
7,15,30.26,123256.0,1
7,16,27.55,122840.0,1
7,17,29.35,123076.0,1
7,18,28.9,123204.0,1
7,19,29.07,123256.0,1
7,20,31.34,123028.0,1
7,21,29.6,123176.0,1
7,22,27.74,123188.0,1
7,23,27.55,123168.0,1
7,24,29.97,123168.0,1
7,25,36.64,123232.0,1
7,26,30.9,123304.0,1
7,27,32.4,123180.0,1
7,28,39.13,122852.0,1
7,29,38.96,123200.0,1
7,30,62.17,122764.0,1
7,31,84.57,123188.0,1
7,32,84.92,123004.0,1
7,33,111.1,123168.0,1
7,34,51.03,123092.0,1
7,35,102.36,123120.0,1
7,36,92.08,123048.0,1
7,37,78.42,123188.0,1
7,38,37.53,123244.0,1
7,39,45.04,123100.0,1
7,40,32.4,123120.0,1
7,41,31.27,123212.0,1
7,42,31.93,123212.0,1
7,43,30.67,123096.0,1
7,44,30.18,123148.0,1
7,45,30.89,123220.0,1
7,46,31.83,123020.0,1
7,47,33.05,123084.0,1
7,48,32.93,123092.0,1
7,49,33.1,123088.0,1
7,50,33.85,122792.0,1
