K,Iteration,User Time (s),Memory (KB),Passes
5,1,33.1,106656.0,2
5,2,22.44,106728.0,2
5,3,33.54,106756.0,2
5,4,22.84,106792.0,2
5,5,32.69,106724.0,2
5,6,23.23,106668.0,2
5,7,33.41,106804.0,2
5,8,22.69,106700.0,2
5,9,31.53,106712.0,2
5,10,22.75,106628.0,2
5,11,32.17,106728.0,2
5,12,23.7,106684.0,2
5,13,30.75,106648.0,2
5,14,23.75,106672.0,2
5,15,31.23,106688.0,2
5,16,23.19,106716.0,2
5,17,31.46,106668.0,2
5,18,31.92,106668.0,2
5,19,31.81,106708.0,2
5,20,31.21,106616.0,2
5,21,23.55,106752.0,2
5,22,30.41,106712.0,2
5,23,23.82,106756.0,2
5,24,31.33,106808.0,2
5,25,30.29,106664.0,2
5,26,22.91,106720.0,2
5,27,30.52,106800.0,2
5,28,23.37,106636.0,2
5,29,30.29,106616.0,2
5,30,23.52,106800.0,2
5,31,38.48,106720.0,2
5,32,24.2,106724.0,2
5,33,38.41,106668.0,2
5,34,24.72,106632.0,2
5,35,31.4,106688.0,2
5,36,23.02,106700.0,2
5,37,32.36,106768.0,2
5,38,23.25,106672.0,2
5,39,31.81,106728.0,2
5,40,21.53,106792.0,2
5,41,31.25,106668.0,2
5,42,22.59,106788.0,2
5,43,31.5,106800.0,2
5,44,22.73,106808.0,2
5,45,31.04,106804.0,2
5,46,22.19,106696.0,2
5,47,31.9,106632.0,2
5,48,21.78,106772.0,2
5,49,32.01,106640.0,2
5,50,22.94,106644.0,2
