M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.30879999999999996,6228.0,2.0,16.58
2000,0.2709,7320.0,2.0,25.86
3000,0.24780000000000002,7320.0,2.0,28.15
4000,0.22149999999999997,7104.0,2.0,29.58
5000,0.22,7976.0,2.0,30.3
6000,0.20920000000000002,8064.0,2.0,31.04
7000,0.1923,8260.0,2.0,31.94
8000,0.1843,8092.0,2.0,32.39
9000,0.1776,8084.0,2.0,33.12
10000,0.17010000000000003,7308.0,2.0,33.71
12000,0.16149999999999998,8736.0,2.0,34.8
14000,0.15289999999999998,8480.0,2.0,35.38
16000,0.1409,8564.0,2.0,35.84
18000,0.13140000000000002,8816.0,2.01,36.64
25000,0.11460000000000001,9584.0,2.01,38.76
30000,0.2898,9472.0,3.0,40.09
35000,0.2887,10348.0,3.0,42.14
40000,0.2863,10392.0,3.0,44.38
45000,0.2724,10304.0,3.0,46.72
50000,0.25379999999999997,10356.0,3.0,48.26
60000,0.2069,10356.0,3.0,50.8
70000,0.1779,11248.0,3.0,53.4
80000,0.15689999999999998,11256.0,3.01,55.03
90000,0.149,10324.0,3.01,56.69
100000,0.1673,10396.0,3.09,58.76
200000,0.47229999999999994,11336.0,4.92,81.6
300000,0.5217,11372.0,6.02,106.81
400000,0.9569,10348.0,7.97,132.66
500000,1.4271,11328.0,9.8,160.15
600000,1.9380000000000002,11420.0,11.47,187.66
