M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0005,41064.0,1.0,0.09
2000,0.0009,44132.0,1.0,0.09
3000,0.0013,46148.0,1.0,0.08
4000,0.0017000000000000001,47204.0,1.0,0.06
5000,0.002,49220.0,1.0,0.04
6000,0.0023,49220.0,1.0,0.04
7000,0.0026,50276.0,1.0,0.05
8000,0.0029,51296.0,1.0,0.04
9000,0.0034000000000000002,52280.0,1.0,0.04
10000,0.0034999999999999996,53384.0,1.0,0.04
12000,0.0042,54336.0,1.0,0.04
14000,0.0049,55452.0,1.0,0.02
16000,0.0055000000000000005,56420.0,1.0,0.03
18000,0.0062,57444.0,1.0,0.02
25000,0.0083,60524.0,1.0,0.02
30000,0.0097,62564.0,1.0,0.0
35000,0.0111,63640.0,1.0,0.06
40000,0.0125,64620.0,1.0,0.07
45000,0.0137,65644.0,1.0,0.06
50000,0.0151,66660.0,1.0,0.05
60000,0.22460000000000002,12368.0,2.0,50.82
70000,0.1751,11372.0,2.0,53.1
80000,0.14429999999999998,11364.0,2.0,54.78
90000,0.13369999999999999,11328.0,2.0,56.3
100000,0.1274,11592.0,2.0,58.03
200000,0.32939999999999997,11380.0,3.4,79.88
300000,0.606,11364.0,4.98,105.57
400000,0.7073,11424.0,6.03,130.41
500000,1.2064,11376.0,7.84,157.3
600000,1.5397,11384.0,9.13,183.95
