N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3232.0,2.0,9.38
20,0.0001,3172.0,2.05,15.55
30,0.0001,3188.0,2.75,20.98
40,0.0002,3180.0,2.97,26.21
50,0.0003,3188.0,3.0,30.41
60,0.0004,3160.0,3.0,35.38
70,0.0005,3128.0,3.08,39.49
80,0.0006,3180.0,3.12,43.56
90,0.0008,3224.0,3.29,48.34
100,0.001,3176.0,3.5,51.69
200,0.0033,3188.0,4.11,85.82
300,0.0066,4172.0,4.47,114.65
400,0.0118,3180.0,5.22,131.82
500,0.0181,3172.0,5.82,141.93
600,0.024700000000000003,3244.0,6.22,153.45
700,0.0346,3128.0,6.8,153.44
800,0.044199999999999996,3172.0,7.13,161.95
900,0.0562,3180.0,7.6,157.05
1000,0.0678,3196.0,7.88,173.08
1200,0.1041,3172.0,9.28,167.17
1400,0.1378,4252.0,9.61,190.04
1600,0.18760000000000002,4196.0,10.77,174.13
1800,0.2327,4196.0,11.27,188.43
2000,0.2928,4212.0,11.98,206.36
2500,0.46740000000000004,4196.0,13.72,221.78
3000,0.6683,4188.0,15.24,224.62
3500,0.9147,5184.0,16.5,239.44
4000,1.2087999999999999,5220.0,18.09,242.55
4500,1.5053999999999998,5236.0,18.89,257.46
5000,1.8751,5220.0,19.95,301.64
6000,2.6883999999999997,6256.0,22.04,294.62
7000,3.6319,7272.0,23.81,321.71
