K,Time (s),Memory (KB),Passes
1,43.13,111028.0,4
2,24.52,112916.0,4
3,40.84,112768.0,5
4,0.3,69316.0,1
5,0.31,69340.0,1
6,0.32,69424.0,1
7,0.3,69424.0,1
8,0.3,69428.0,1
9,0.31,69256.0,1
10,0.31,69316.0,1
