N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4148.0,1.0,3.0
20,0.0,3136.0,1.0,4.0
30,0.0,3140.0,1.0,7.0
40,0.0,4140.0,1.0,8.0
50,0.0,4196.0,1.0,10.0
60,0.0,4188.0,1.0,9.0
70,0.0,3188.0,1.0,10.0
80,0.0,4176.0,1.0,9.0
90,0.0,4184.0,1.0,14.0
100,0.0,4184.0,1.0,18.0
200,0.0,4184.0,1.0,190.0
300,0.0,3120.0,1.0,285.0
400,0.0,3136.0,1.0,386.0
500,0.01,4144.0,1.0,473.0
600,0.01,3132.0,1.0,579.0
700,0.01,4176.0,1.0,675.0
800,0.01,3184.0,1.0,772.0
900,0.02,4172.0,1.0,867.0
1000,0.02,4156.0,1.0,980.0
1200,0.03,5172.0,1.0,1170.0
1400,0.04,4156.0,1.0,1364.0
1600,0.05,5212.0,1.0,1564.0
1800,0.06,5172.0,1.0,1754.0
2000,0.07,4160.0,1.0,1952.0
2500,0.11,5196.0,1.0,2451.0
3000,0.15,5228.0,1.0,2952.0
3500,0.19,6192.0,1.0,3438.0
4000,0.23,6224.0,1.0,3935.0
4500,0.27,7204.0,1.0,4435.0
5000,0.34,8244.0,1.0,4938.0
6000,0.45,7284.0,1.0,5901.0
7000,0.52,9368.0,1.0,6899.0
8000,0.7,9300.0,1.0,7901.0
9000,0.84,11356.0,1.0,8892.0
10000,0.99,11316.0,1.0,9893.0
