M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0038,6260.0,2.9,18.14
2000,0.0058,6232.0,3.32,36.41
3000,0.0075,6284.0,3.36,42.87
4000,0.009300000000000001,6208.0,3.35,46.97
5000,0.0109,6268.0,3.36,50.14
6000,0.0129,6244.0,3.41,52.57
7000,0.0144,6248.0,3.44,54.8
8000,0.0161,6216.0,3.45,56.59
9000,0.0177,6268.0,3.47,58.07
10000,0.019299999999999998,6252.0,3.47,59.47
12000,0.0223,6208.0,3.46,62.27
14000,0.025099999999999997,6256.0,3.47,64.29
16000,0.0281,6208.0,3.44,66.41
18000,0.030299999999999997,6264.0,3.39,68.22
25000,0.04019999999999999,6256.0,3.46,73.28
30000,0.0466,7268.0,3.43,76.64
35000,0.0521,6256.0,3.45,79.41
40000,0.06,7268.0,3.45,82.12
45000,0.0653,6248.0,3.46,84.89
50000,0.07139999999999999,6240.0,3.44,87.44
60000,0.0828,6268.0,3.44,92.26
70000,0.0949,6264.0,3.46,96.42
80000,0.1043,6248.0,3.41,100.42
90000,0.11539999999999999,7284.0,3.41,104.48
100000,0.1275,7248.0,3.41,108.66
200000,0.2404,7268.0,3.44,147.46
300000,0.3506,7268.0,3.37,187.85
400000,0.45649999999999996,7280.0,3.32,228.95
500000,0.5547,7292.0,3.35,271.24
600000,0.6884,7232.0,3.38,314.42
