M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0005,41068.0,1.0,0.09
2000,0.0009,44188.0,1.0,0.09
3000,0.0012,45156.0,1.0,0.08
4000,0.0016,47204.0,1.0,0.06
5000,0.002,48204.0,1.0,0.04
6000,0.0023,49264.0,1.0,0.04
7000,0.0026,50276.0,1.0,0.05
8000,0.003,51312.0,1.0,0.04
9000,0.0032,52324.0,1.0,0.04
10000,0.0036,53348.0,1.0,0.04
12000,0.0042,54412.0,1.0,0.04
14000,0.0049,55396.0,1.0,0.02
16000,0.0054,57408.0,1.0,0.03
18000,0.006,57452.0,1.0,0.02
25000,0.008199999999999999,60576.0,1.0,0.02
30000,0.0096,62568.0,1.0,0.0
35000,0.0111,63568.0,1.0,0.06
40000,0.0126,64616.0,1.0,0.07
45000,0.0141,65624.0,1.0,0.06
50000,0.0155,66636.0,1.0,0.05
60000,0.0178,68732.0,1.0,0.01
70000,0.0209,69732.0,1.0,0.0
80000,0.0233,70756.0,1.0,0.02
90000,0.0263,71804.0,1.0,0.01
100000,0.0288,72816.0,1.0,0.0
200000,0.1794,7232.0,2.49,148.73
300000,0.2608,7272.0,2.42,189.28
400000,0.34299999999999997,7296.0,2.37,230.38
500000,0.4316,7244.0,2.42,272.76
600000,0.5145000000000001,7276.0,2.41,315.91
