M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0005,41060.0,1.0,0.09
2000,0.0009,44148.0,1.0,0.09
3000,0.0013,45180.0,1.0,0.08
4000,0.0017000000000000001,47260.0,1.0,0.06
5000,0.002,48232.0,1.0,0.04
6000,0.0023,49296.0,1.0,0.04
7000,0.0026,50296.0,1.0,0.05
8000,0.003,51324.0,1.0,0.04
9000,0.0033,52328.0,1.0,0.04
10000,0.0038,53360.0,1.0,0.04
12000,0.0043,54368.0,1.0,0.04
14000,0.0049,55396.0,1.0,0.02
16000,0.0055000000000000005,56436.0,1.0,0.03
18000,0.006,57496.0,1.0,0.02
25000,0.0084,60536.0,1.0,0.02
30000,0.0097,62552.0,1.0,0.0
35000,0.011000000000000001,63636.0,1.0,0.06
40000,0.0126,65604.0,1.0,0.07
45000,0.013600000000000001,65644.0,1.0,0.06
50000,0.015300000000000001,66660.0,1.0,0.05
60000,0.0176,67744.0,1.0,0.01
70000,0.0208,69744.0,1.0,0.0
80000,0.0232,70764.0,1.0,0.02
90000,0.0259,71788.0,1.0,0.01
100000,0.028999999999999998,72816.0,1.0,0.0
200000,0.2394,16544.0,2.0,148.98
300000,0.32409999999999994,16476.0,2.0,189.65
400000,0.40049999999999997,16544.0,2.0,230.73
500000,0.4921,16476.0,2.02,273.13
600000,0.5761999999999999,16500.0,2.03,316.31
