M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0006,41020.0,1.0,0.15
2000,0.0009,45140.0,1.0,0.18
3000,0.0016,47168.0,1.0,0.44
4000,0.0021,50228.0,1.0,0.34
5000,0.0025,53316.0,1.0,0.44
6000,0.0031,56428.0,1.0,0.39
7000,0.0036,59468.0,1.0,0.32
8000,0.0043,62536.0,1.0,0.22
9000,0.0046,64580.0,1.0,0.23
10000,0.0051,66636.0,1.0,0.22
12000,0.0058,68692.0,1.0,0.14
14000,0.006500000000000001,69696.0,1.0,0.15
16000,0.0072,70736.0,1.0,0.05
18000,0.008,70772.0,1.0,0.03
25000,0.0724,9308.0,1.0,5959.01
30000,0.09300000000000001,9308.0,2.0,6534.85
35000,0.1054,9276.0,2.0,6973.27
40000,0.10460000000000001,9272.0,2.0,7308.54
45000,0.1109,9280.0,2.0,7581.71
50000,0.11779999999999999,9264.0,2.0,7801.91
60000,0.1306,10316.0,2.0,8149.06
70000,0.1404,9324.0,2.0,8391.63
80000,0.1506,9268.0,2.01,8585.77
90000,0.1602,9252.0,2.0,8741.14
100000,0.1696,9296.0,2.0,8863.93
200000,0.2552,9272.0,2.0,9428.84
300000,0.3345,9316.0,2.0,9622.79
400000,0.41450000000000004,9312.0,2.0,9720.08
500000,0.4926,9252.0,2.0,9777.92
600000,0.5788,9252.0,2.0,9816.77
700000,0.6587999999999999,9252.0,2.0,9845.52
800000,0.7404000000000001,9260.0,2.0,9865.02
900000,0.8194,9284.0,2.0,9881.32
1000000,0.8957999999999999,9252.0,2.0,9893.85
2000000,1.7075,9252.0,2.0,9949.36
4000000,3.3138,9248.0,2.0,9977.2
6000000,4.9299,9252.0,2.0,9986.61
8000000,6.521599999999999,9300.0,2.0,9991.03
10000000,8.2364,9252.0,2.0,9993.26
15000000,12.278699999999999,8272.0,2.0,9996.38
20000000,16.3775,8228.0,2.0,9997.79
25000000,20.3573,10296.0,2.0,9998.66
30000000,24.5681,8228.0,2.0,9999.09
35000000,28.735100000000003,9292.0,2.0,9999.34
40000000,33.2312,8224.0,2.0,9999.65
49995000,40.789899999999996,8268.0,2.0,10000.0
