N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3184.0,1.0,2.35
20,0.0,4172.0,1.0,2.29
30,0.0001,3184.0,1.32,21.32
40,0.0002,3188.0,1.86,26.42
50,0.0003,3184.0,1.99,30.99
60,0.0004,3124.0,2.0,36.19
70,0.0005,3188.0,2.0,39.95
80,0.0006,3176.0,2.0,44.53
90,0.0008,3184.0,2.0,48.76
100,0.0009,3136.0,2.0,52.36
200,0.0026,3192.0,2.01,87.01
300,0.0048,3156.0,2.09,116.26
400,0.0076,3172.0,2.12,134.02
500,0.0102,3164.0,2.15,148.09
600,0.0138,4196.0,2.19,163.72
700,0.0172,3172.0,2.19,168.88
800,0.0213,3156.0,2.25,179.94
900,0.024399999999999998,4240.0,2.18,179.0
1000,0.0294,5200.0,2.25,195.94
1200,0.0388,4216.0,2.24,199.43
1400,0.0473,4208.0,2.16,226.14
1600,0.059699999999999996,4212.0,2.2,220.3
1800,0.0708,4196.0,2.23,237.05
2000,0.0832,4196.0,2.28,258.67
2500,0.11869999999999999,5256.0,2.3,287.42
3000,0.1495,5232.0,2.23,298.88
3500,0.1929,6308.0,2.34,323.21
4000,0.2361,6300.0,2.33,337.57
4500,0.2918,7284.0,2.35,363.26
5000,0.3282,7292.0,2.35,409.52
6000,0.4364,8308.0,2.38,422.83
7000,0.5499,9332.0,2.31,460.91
