K,Average User Time (s),Average Memory (KB),Passes
1,61.5133,69321.3333,278
2,33.0033,85108.0,7
3,16.35,91717.3333,2
4,31.9933,106857.3333,2
5,0.15,106733.3333,1
6,0.1567,106758.6667,1
7,0.1533,106722.6667,1
8,0.16,106733.3333,1
9,0.1567,106754.6667,1
10,0.1533,106736.0,1
