K,Average User Time (s),Average Memory (KB),Passes
1,15.558,26594.4,231
2,3.028,31038.4,13
3,1.76,36513.6,4
4,1.056,42794.4,3
5,1.68,48130.4,2
6,0.086,51621.6,1
7,0.09,51580.8,1
8,0.088,51558.4,1
9,0.09,51580.0,1
10,0.092,51592.0,1
