K,Time (s),Memory (KB),Passes
1,0.15,9464.0,2.34
2,0.14,10136.0,2.0
3,0.14,10592.0,1.99
4,0.14,12032.0,1.62
5,0.12,12384.0,1.17
6,0.12,13036.0,1.01
7,0.12,13424.0,1.0
8,0.12,13392.0,1.0
9,0.12,13448.0,1.0
10,0.12,13388.0,1.0
12,0.12,13296.0,1.0
14,0.03,76324.0,1.0
16,0.03,76308.0,1.0
18,0.03,76320.0,1.0
20,0.03,76212.0,1.0
25,0.04,76320.0,1.0
30,0.04,76340.0,1.0
35,0.04,76284.0,1.0
40,0.04,76316.0,1.0
50,0.04,76288.0,1.0
75,0.03,76292.0,1.0
100,0.04,76316.0,1.0
250,0.04,76456.0,1.0
500,0.04,76344.0,1.0
750,0.04,76320.0,1.0
1000,0.03,76296.0,1.0
2500,0.04,76316.0,1.0
5000,0.04,76316.0,1.0
7500,0.04,76296.0,1.0
10000,0.03,76320.0,1.0
