K,Time (s),Memory (KB),Passes
1,1.46,9420.0,44.6
2,0.1,9768.0,3.0
3,0.08,10616.0,2.0
4,0.06,11824.0,2.0
5,0.08,12632.0,2.0
6,0.07,13816.0,2.0
7,0.07,14788.0,2.0
8,0.07,15768.0,2.0
9,0.08,16664.0,2.0
10,0.08,17456.0,2.0
12,0.1,19456.0,2.0
14,0.03,76288.0,1.0
16,0.04,76212.0,1.0
18,0.03,76316.0,1.0
20,0.04,76284.0,1.0
25,0.03,76300.0,1.0
30,0.03,76304.0,1.0
35,0.04,76340.0,1.0
40,0.03,76352.0,1.0
50,0.04,76304.0,1.0
75,0.04,76172.0,1.0
100,0.04,76216.0,1.0
250,0.03,76324.0,1.0
500,0.03,76288.0,1.0
750,0.03,76320.0,1.0
1000,0.04,76340.0,1.0
2500,0.04,76316.0,1.0
5000,0.04,76284.0,1.0
7500,0.03,76320.0,1.0
10000,0.03,76172.0,1.0
