K,Time (s),Memory (KB),Passes
1,0.21,9044.0,4.07
2,0.21,8784.0,4.07
3,0.18,8688.0,4.07
4,0.2,8636.0,4.06
5,0.2,8836.0,4.07
6,0.2,8576.0,4.07
7,0.2,8704.0,4.07
8,0.19,8592.0,4.08
9,0.2,8576.0,4.08
10,0.19,9080.0,4.09
12,0.2,9124.0,4.08
14,0.2,8540.0,4.08
16,0.19,8648.0,4.08
18,0.21,8856.0,4.08
20,0.19,8852.0,4.07
25,0.19,9080.0,4.06
30,0.21,8996.0,4.06
35,0.2,8768.0,4.04
40,0.19,8732.0,4.05
50,0.21,8800.0,4.03
75,0.22,8748.0,4.02
100,0.19,8772.0,4.01
250,0.21,8772.0,4.0
500,0.21,9032.0,4.0
750,0.2,9032.0,4.0
1000,0.2,9372.0,3.99
2500,0.2,9960.0,4.0
5000,0.18,11372.0,3.0
7500,0.16,12052.0,3.0
10000,0.14,12076.0,2.0
