K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,0.7791,7252.24,13.61,91.46
2,0.3837000000000001,7271.84,4.69,73.72
3,0.3184000000000004,8298.76,3.61,68.85
4,0.20049999999999993,9314.4,3.0,68.66
5,0.3599,10323.48,3.0,66.03
6,0.13510000000000016,11359.04,2.02,63.08
7,0.13290000000000024,12389.84,2.0,63.17
8,0.13620000000000024,13417.2,2.0,63.73
9,0.1407000000000002,14436.72,2.0,63.99
10,0.1519000000000002,15446.28,2.0,63.86
12,0.25170000000000003,16491.48,2.0,63.68
14,0.03379999999999997,6249.6,1.0,0.0
16,0.03339999999999997,6240.68,1.0,0.0
18,0.03259999999999997,6240.36,1.0,0.0
20,0.033199999999999966,6249.4,1.0,0.0
25,0.03349999999999998,6245.48,1.0,0.0
30,0.03399999999999996,6246.56,1.0,0.0
35,0.03369999999999997,6244.12,1.0,0.0
40,0.033899999999999965,6247.28,1.0,0.0
45,0.032899999999999964,6241.84,1.0,0.0
50,0.03349999999999997,6250.56,1.0,0.0
60,0.03259999999999996,6244.12,1.0,0.0
70,0.03309999999999996,6250.6,1.0,0.0
80,0.03359999999999997,6249.64,1.0,0.0
90,0.034099999999999964,6253.84,1.0,0.0
100,0.03249999999999995,6238.64,1.0,0.0
150,0.03349999999999997,6247.16,1.0,0.0
200,0.032299999999999954,6245.64,1.0,0.0
250,0.03359999999999997,6248.6,1.0,0.0
300,0.03329999999999997,6255.28,1.0,0.0
400,0.03399999999999996,6254.04,1.0,0.0
500,0.03369999999999997,6245.72,1.0,0.0
750,0.03339999999999997,6249.64,1.0,0.0
1000,0.03329999999999996,6247.8,1.0,0.0
1500,0.03369999999999997,6249.28,1.0,0.0
2000,0.032499999999999966,6251.24,1.0,0.0
2500,0.03309999999999997,6249.2,1.0,0.0
3000,0.03309999999999996,6249.32,1.0,0.0
4000,0.03189999999999996,6244.52,1.0,0.0
5000,0.033199999999999966,6255.24,1.0,0.0
7500,0.032199999999999965,6251.8,1.0,0.0
10000,0.032499999999999966,6244.36,1.0,0.0
