K,Time (s),Memory (KB),Passes
50,0.29,8236.0,1.32
60,0.29,9276.0,1.26
70,0.28,11344.0,1.25
80,0.29,12336.0,1.25
90,0.29,11384.0,1.24
100,0.29,12324.0,1.24
150,0.3,18488.0,1.24
200,0.32,22492.0,1.24
250,0.32,26688.0,1.24
300,0.34,32344.0,1.24
350,0.35,36624.0,1.23
400,0.36,41128.0,1.23
450,0.36,46000.0,1.23
500,0.12,79540.0,1.0
550,0.12,79624.0,1.0
600,0.12,80460.0,1.0
650,0.12,79560.0,1.0
700,0.13,77908.0,1.0
750,0.12,76988.0,1.0
800,0.12,80076.0,1.0
850,0.12,77888.0,1.0
900,0.12,78760.0,1.0
950,0.13,79940.0,1.0
1000,0.12,78660.0,1.0
