K,Time (s),Memory (KB),Passes
50,0.52,5156.0,3.0
60,0.54,5156.0,3.0
70,0.52,5152.0,3.0
80,0.52,6196.0,3.0
90,0.54,6180.0,3.0
100,0.54,6228.0,3.0
150,0.54,7204.0,3.0
200,0.53,9252.0,3.0
250,0.52,10332.0,3.0
300,0.53,11364.0,3.0
350,0.53,12324.0,3.0
400,0.52,14384.0,3.0
450,0.52,15008.0,3.0
500,0.51,15796.0,3.0
550,0.52,16308.0,3.0
600,0.51,16984.0,3.0
650,0.5,18060.0,3.0
700,0.52,17444.0,3.0
750,0.51,18416.0,3.0
800,0.51,18800.0,3.0
850,0.5,20400.0,3.0
900,0.49,19056.0,3.0
950,0.5,19344.0,3.0
1000,0.38,19008.0,2.0
