K,Time (s),Memory (KB),Passes
50,0.41,8236.0,3.13
60,0.3,9288.0,2.24
70,0.3,10324.0,2.2
80,0.29,10288.0,2.19
90,0.29,11300.0,2.19
100,0.3,12380.0,2.19
150,0.28,17472.0,2.0
200,0.31,21540.0,2.0
250,0.33,26660.0,1.98
300,0.36,31780.0,1.92
350,0.39,35876.0,1.83
400,0.42,40996.0,1.7
450,0.43,45092.0,1.5
500,0.12,78300.0,1.0
550,0.12,79216.0,1.0
600,0.12,78304.0,1.0
650,0.12,79728.0,1.0
700,0.12,79900.0,1.0
750,0.12,79744.0,1.0
800,0.12,79520.0,1.0
850,0.12,79692.0,1.0
900,0.13,79432.0,1.0
950,0.12,79528.0,1.0
1000,0.12,79492.0,1.0
