Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,N/A,N/A,N/A,N/A
6000,N/A,N/A,N/A,N/A
7000,N/A,N/A,N/A,N/A
8000,N/A,N/A,N/A,N/A
9000,N/A,N/A,N/A,N/A
10000,N/A,N/A,N/A,N/A
11000,N/A,N/A,N/A,N/A
12000,N/A,N/A,N/A,N/A
13000,N/A,N/A,N/A,N/A
14000,N/A,N/A,N/A,N/A
15000,N/A,N/A,N/A,N/A
16000,N/A,N/A,N/A,N/A
17000,N/A,N/A,N/A,N/A
18000,1,38,15424.0,1
19000,1,38,17520.0,1
20000,N/A,N/A,N/A,N/A
21000,2,9,19120.0,2
22000,2,9,19888.0,2
23000,2,9,21200.0,2
24000,3,2,22624.0,3
25000,3,2,22624.0,3
30000,3,2,22624.0,3
35000,3,2,22624.0,3
40000,3,2,29568.0,3
45000,3,2,29056.0,3
50000,3,2,29200.0,3
60000,3,2,27648.0,3
70000,3,2,32512.0,3
80000,3,2,19424.0,3
90000,3,2,22624.0,3
100000,3,2,25424.0,3
200000,3,2,22624.0,3
300000,3,2,26208.0,3
400000,3,2,21168.0,3
500000,3,2,27536.0,3
600000,3,2,22624.0,3
700000,3,2,23312.0,3
800000,3,2,22624.0,3
900000,3,2,22480.0,3
1000000,3,2,26880.0,3
