Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,N/A,N/A,N/A,N/A
6000,N/A,N/A,N/A,N/A
7000,N/A,N/A,N/A,N/A
8000,N/A,N/A,N/A,N/A
9000,N/A,N/A,N/A,N/A
10000,N/A,N/A,N/A,N/A
11000,N/A,N/A,N/A,N/A
12000,N/A,N/A,N/A,N/A
13000,N/A,N/A,N/A,N/A
14000,N/A,N/A,N/A,N/A
15000,N/A,N/A,N/A,N/A
16000,2,2,15040.0,2
17000,2,2,15040.0,2
18000,2,2,16464.0,2
19000,N/A,N/A,N/A,N/A
20000,2,2,15040.0,3
21000,2,2,15040.0,2
22000,2,2,15040.0,3
23000,2,2,16432.0,2
24000,2,2,15040.0,2
25000,2,2,22160.0,2
30000,2,2,18432.0,3
35000,2,2,19552.0,3
40000,2,2,15040.0,3
45000,2,2,16464.0,3
50000,2,2,17856.0,3
60000,2,2,15040.0,3
70000,2,2,24832.0,3
80000,2,2,16464.0,3
90000,2,2,15040.0,3
100000,2,2,15040.0,3
200000,2,2,15040.0,3
300000,2,2,24816.0,3
400000,2,2,16464.0,3
500000,2,2,20016.0,3
600000,2,2,18656.0,3
700000,2,2,17264.0,3
800000,2,2,15040.0,3
900000,2,2,15040.0,3
1000000,2,2,15040.0,3
