K,Average User Time (s),Average Memory (KB),Passes
1,33.824,123127.2,4
2,33.956,123096.0,4
3,36.888,122336.8,4
4,30.722,122290.4,4
5,38.496,122350.4,4
6,33.552,122347.2,4
7,31.968,120977.6,4
8,34.822,119418.4,5
9,30.908,119398.4,5
10,34.39,119406.4,5
