N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4216.0,1.0,2.32
20,0.0,4168.0,1.0,2.32
30,0.0,4188.0,1.0,1.7
40,0.0001,4168.0,2.0,24.46
50,0.0002,4192.0,2.0,27.76
60,0.0002,4268.0,2.0,31.71
70,0.0003,4180.0,2.0,34.38
80,0.0003,4168.0,2.03,37.45
90,0.0004,4164.0,2.05,41.21
100,0.0005,4168.0,2.07,43.44
200,0.0013,4224.0,2.62,62.27
300,0.0022,4196.0,2.63,76.07
400,0.0031,4164.0,2.62,79.4
500,0.0040999999999999995,4208.0,2.71,82.15
600,0.0053,4196.0,2.77,86.73
700,0.0068000000000000005,4168.0,2.93,83.09
800,0.008,4168.0,2.95,86.15
900,0.0096,4196.0,2.96,79.63
1000,0.011200000000000002,5192.0,3.0,87.65
1200,0.014199999999999999,5216.0,2.98,76.64
1400,0.019,5192.0,3.18,86.59
1600,0.0222,5192.0,3.04,73.75
1800,0.0262,4132.0,3.15,76.56
2000,0.0298,4132.0,3.1,82.45
2500,0.0394,6236.0,3.07,79.18
3000,0.050300000000000004,6232.0,3.12,77.11
3500,0.060700000000000004,6240.0,3.11,76.87
4000,0.0705,6220.0,3.03,71.36
