N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4196.0,2.0,9.55
20,0.0,4168.0,3.0,15.9
30,0.0001,4196.0,3.0,20.4
40,0.0002,4168.0,3.0,24.76
50,0.0002,4196.0,3.0,27.96
60,0.0003,4196.0,3.0,31.94
70,0.0004,4176.0,3.03,34.66
80,0.0005,4168.0,3.02,38.08
90,0.0005,3104.0,3.09,41.9
100,0.0006,4168.0,3.15,43.65
200,0.0016,4184.0,3.57,62.41
300,0.0028000000000000004,4168.0,3.65,76.17
400,0.0038,4168.0,3.71,79.05
500,0.0052,4168.0,3.73,81.42
600,0.006500000000000001,3108.0,3.76,86.12
700,0.0076,4168.0,3.62,82.54
800,0.0091,4180.0,3.7,84.89
900,0.0104,3108.0,3.6,79.46
1000,0.011899999999999999,5192.0,3.7,87.83
1200,0.015,5188.0,3.61,76.24
1400,0.0197,5204.0,3.76,85.12
1600,0.0222,5220.0,3.6,72.36
1800,0.0291,5192.0,3.89,75.02
2000,0.0342,5240.0,3.94,80.66
2500,0.0462,6244.0,3.94,77.17
3000,0.0604,6236.0,4.04,74.71
3500,0.0765,5156.0,4.1,74.46
4000,0.0901,6260.0,3.98,69.73
