N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4168.0,1.0,2.32
20,0.0,4188.0,1.0,2.32
30,0.0,4168.0,1.0,1.7
40,0.0001,4168.0,2.0,24.33
50,0.0002,4172.0,2.0,27.44
60,0.0002,4168.0,2.0,31.77
70,0.0003,4168.0,2.0,34.31
80,0.0003,4188.0,2.0,37.39
90,0.0004,4168.0,2.0,41.33
100,0.0004,4168.0,2.0,42.86
200,0.0011,4164.0,2.02,61.17
300,0.002,4168.0,2.2,74.0
400,0.0029,4192.0,2.35,78.51
500,0.0039000000000000003,4212.0,2.37,81.38
600,0.004699999999999999,4168.0,2.32,85.91
700,0.005600000000000001,4168.0,2.28,81.73
800,0.0066,4168.0,2.25,84.76
900,0.0073,4168.0,2.2,78.67
1000,0.0085,5192.0,2.22,87.87
1200,0.0101,5192.0,2.11,75.98
1400,0.0125,5188.0,2.16,84.18
1600,0.0144,5192.0,2.07,72.04
1800,0.0166,5192.0,2.1,74.26
2000,0.019799999999999998,5192.0,2.12,79.37
2500,0.0277,5196.0,2.2,75.46
3000,0.0393,6216.0,2.36,73.69
3500,0.0495,7240.0,2.39,73.11
4000,0.0636,6180.0,2.5,67.72
