K,Time (s),Memory (KB),Passes
1,0.5,60064.0,2
2,0.42,61492.0,1
3,0.1,31716.0,1
4,0.09,31816.0,1
5,0.09,31740.0,1
6,0.09,31936.0,1
7,0.09,31932.0,1
8,0.1,31952.0,1
9,0.09,31724.0,1
10,0.09,31764.0,1
