K,Time (s),Memory (MB),Passes
1,49.99,66.18,229
2,13.41,71.24,26
3,3.28,85.87,4
4,5.36,102.89,3
5,0.18,36.87,1
6,0.18,36.87,1
7,0.18,36.87,1
8,0.18,36.87,1
9,0.18,36.87,1
10,0.18,36.87,1
