K,Time (s),Memory (MB),Passes
1,57.74,61.27,294
2,23.54,75.55,67
3,10.59,85.29,18
4,3.66,102.67,4
5,0.18,36.87,1
6,0.18,36.87,1
7,0.18,36.87,1
8,0.18,36.87,1
9,0.18,36.87,1
10,0.18,36.87,1
